admin_description,area_code,weekly_payment_gross,weekly_payment_gross_CV,weekly_payment_excluding,weekly_payment_excluding_CV,weekly_payment_basic,weekly_payment_basic_CV,overtime_payment,overtime_payment_CV,hourly_payment,hourly_payment_CV,hourly_payment_excluding,hourly_payment_excluding_CV,annual_payment_gross,annual_payment_gross_CV,annual_payment_incentive,annual_payment_incentive_CV,hours_worked_total,hours_worked_total_CV,hours_worked_basic,hours_worked_basic_CV,hours_worked_overtime,hours_worked_overtime_CV
ualad09:Darlington,E06000005,446.1,8.8,434.4,7.3,415.5,6.7,,,11.63,8.8,11.16,8.3,22.461,7.6,,,37.5,1.7,37.5,0.3,,
ualad09:County Durham,E06000047,466.1,2.7,446.6,2.7,424.4,2.9,56.9,17.0,11.89,2.8,11.80,2.8,24.063,3.2,,,37.5,0.8,37.5,0.1,4.0,15.0
ualad09:Hartlepool,E06000001,475.4,7.7,444.7,6.6,429.4,6.4,,,11.78,6.4,11.75,6.9,24.198,14.0,,,38.4,1.5,37.5,1.1,,
ualad09:Middlesbrough,E06000002,421.9,5.1,407.6,5.1,392.8,5.8,,,11.04,5.3,11.00,5.6,21.708,6.1,,,37.5,1.5,37.5,0.2,,
ualad09:Northumberland,E06000048,479.1,3.5,455.4,3.8,435.4,4.1,,,11.96,3.5,11.91,3.6,25.088,6.5,1.137,19.0,37.5,0.2,37.5,0.1,,
ualad09:Redcar and Cleveland,E06000003,488.1,6.6,454.4,6.7,440.5,5.3,,,12.36,5.6,12.14,5.4,24.344,16.0,,,37.5,1.0,37.5,,,
ualad09:StocktononTees,E06000004,513.7,5.8,489.0,3.9,468.2,3.6,67.0,20.0,13.29,3.8,13.08,3.9,26.595,6.1,,,37.9,1.0,37.5,0.1,,
ualad09:Gateshead,E08000020,475.2,4.3,459.2,3.4,432.5,4.1,,,12.20,4.7,12.02,4.3,24.594,8.7,,,37.5,0.9,37.5,0.3,,
ualad09:Newcastle upon Tyne,E08000021,482.8,4.9,472.3,4.3,456.2,4.0,,,12.45,4.4,12.34,4.6,24.287,5.6,,,37.5,0.3,37.5,0.3,,
ualad09:North Tyneside,E08000022,479.4,4.4,464.0,4.8,449.1,3.9,,,12.66,4.2,12.55,4.0,24.185,9.5,,,37.5,0.3,37.4,0.3,3.8,19.0
ualad09:South Tyneside,E08000023,454.4,7.3,445.4,5.7,421.9,4.7,,,11.94,6.1,11.78,5.6,23.792,6.9,,,37.5,0.7,37.5,0.3,,
ualad09:Sunderland,E08000024,450.6,3.7,421.8,4.2,404.5,3.7,44.5,16.0,11.52,3.8,11.35,3.9,23.705,5.0,,,37.5,0.9,37.5,0.2,3.4,18.0
ualad09:Blackburn with Darwen,E06000008,451.3,6.3,426.7,7.5,399.8,7.4,,,10.90,6.6,10.73,6.9,22.091,8.8,,,37.5,1.1,37.5,0.3,,
ualad09:Blackpool,E06000009,374.0,4.4,360.7,4.7,357.1,4.9,,,9.44,5.0,9.40,5.3,19.943,6.2,,,37.5,1.3,37.4,0.3,,
ualad09:Cheshire East,E06000049,523.6,4.2,516.8,4.0,498.6,4.1,63.6,19.0,13.68,4.0,13.54,3.9,27.349,4.5,,,37.5,0.0,37.5,0.0,3.7,19.0
ualad09:Cheshire West and Chester,E06000050,526.5,4.3,508.0,5.2,490.7,4.2,45.3,16.0,13.42,4.2,13.32,4.2,28.000,6.2,1.374,20.0,37.5,0.2,37.5,0.2,3.3,17.0
ualad09:Halton,E06000006,484.1,6.5,462.1,6.5,444.1,6.4,44.5,20.0,12.37,5.9,12.27,6.1,24.998,6.8,,,37.5,1.2,37.5,0.2,4.1,19.0
ualad09:Warrington,E06000007,496.9,4.4,479.7,4.2,465.1,4.1,60.8,18.0,12.67,4.8,12.70,4.5,25.905,6.2,,,37.5,1.0,37.5,0.0,,
ualad09:Allerdale,E07000026,512.9,6.3,503.5,7.5,483.3,7.9,,,13.22,8.1,13.22,8.1,26.326,13.0,,,38.8,0.5,38.5,0.9,,
ualad09:BarrowinFurness,E07000027,534.8,8.0,500.2,5.8,470.8,5.1,,,13.56,7.4,12.96,7.0,27.627,9.5,,,38.1,1.4,37.0,,,
ualad09:Carlisle,E07000028,440.9,5.1,421.2,5.1,399.0,5.6,,,11.07,5.4,10.88,5.7,22.646,6.0,,,39.0,1.6,37.5,1.0,,
ualad09:Copeland,E07000029,676.7,7.8,657.8,6.9,614.9,5.7,,,16.81,8.3,16.87,7.5,38.368,9.4,,,38.8,,38.8,,,
ualad09:Eden,E07000030,514.0,8.4,482.3,9.2,482.3,8.1,,,11.82,9.4,11.80,10.0,25.672,10.0,,,38.4,2.0,37.7,2.0,,
ualad09:South Lakeland,E07000031,492.6,9.1,481.1,8.3,473.1,7.2,,,12.59,10.0,12.59,10.0,26.245,10.0,,,37.5,1.2,37.5,0.6,,
ualad09:Bolton,E08000001,465.3,4.0,432.5,3.7,418.9,3.3,51.2,19.0,11.50,3.8,11.48,4.0,23.411,5.6,,,37.5,0.6,37.5,0.3,4.3,19.0
ualad09:Bury,E08000002,493.0,4.6,472.0,4.3,457.7,4.3,,,12.45,4.4,12.35,4.6,25.839,6.4,,,37.5,0.1,37.5,0.2,,
